date,day_name,hour,demand_count
2022-10-19,Wednesday,14,2717
2022-10-19,Wednesday,15,2369
2022-10-19,Wednesday,16,3206
2022-10-19,Wednesday,17,7256
2022-10-19,Wednesday,18,9577
2022-10-19,Wednesday,19,6499
2022-10-19,Wednesday,20,4095
2022-10-19,Wednesday,21,2853
2022-10-19,Wednesday,22,1842
2022-10-19,Wednesday,23,1284
2022-10-20,Thursday,0,623
2022-10-20,Thursday,1,480
2022-10-20,Thursday,2,303
2022-10-20,Thursday,3,164
2022-10-20,Thursday,4,106
2022-10-20,Thursday,5,127
2022-10-20,Thursday,6,424
2022-10-20,Thursday,7,758
2022-10-20,Thursday,8,1313
2022-10-20,Thursday,9,1738
2022-10-20,Thursday,10,5233
2022-10-20,Thursday,11,15338
2022-10-20,Thursday,12,7662
2022-10-20,Thursday,13,3634
2022-10-20,Thursday,14,2523
2022-10-20,Thursday,15,2362
2022-10-20,Thursday,16,3360
2022-10-20,Thursday,17,7085
2022-10-20,Thursday,18,9467
2022-10-20,Thursday,19,6571
2022-10-20,Thursday,20,3876
2022-10-20,Thursday,21,2886
2022-10-20,Thursday,22,1881
2022-10-20,Thursday,23,1240
2022-10-21,Friday,0,679
2022-10-21,Friday,1,468
2022-10-21,Friday,2,304
2022-10-21,Friday,3,181
2022-10-21,Friday,4,122
2022-10-21,Friday,5,136
2022-10-21,Friday,6,468
2022-10-21,Friday,7,802
2022-10-21,Friday,8,1365
2022-10-21,Friday,9,1727
2022-10-21,Friday,10,5232
2022-10-21,Friday,11,15167
2022-10-21,Friday,12,7766
2022-10-21,Friday,13,3759
2022-10-21,Friday,14,2677
2022-10-21,Friday,15,2485
2022-10-21,Friday,16,3461
2022-10-21,Friday,17,7910
2022-10-21,Friday,18,10337
2022-10-21,Friday,19,7143
2022-10-21,Friday,20,4598
2022-10-21,Friday,21,3093
2022-10-21,Friday,22,2028
2022-10-21,Friday,23,1397
2022-10-22,Saturday,0,720
2022-10-22,Saturday,1,436
2022-10-22,Saturday,2,283
2022-10-22,Saturday,3,185
2022-10-22,Saturday,4,134
2022-10-22,Saturday,5,146
2022-10-22,Saturday,6,334
2022-10-22,Saturday,7,1068
2022-10-22,Saturday,8,1608
2022-10-22,Saturday,9,2046
2022-10-22,Saturday,10,6004
2022-10-22,Saturday,11,14894
2022-10-22,Saturday,12,9693
2022-10-22,Saturday,13,4909
2022-10-22,Saturday,14,3247
2022-10-22,Saturday,15,3108
2022-10-22,Saturday,16,3847
2022-10-22,Saturday,17,8674
2022-10-22,Saturday,18,10099
2022-10-22,Saturday,19,6593
2022-10-22,Saturday,20,4334
2022-10-22,Saturday,21,2995
2022-10-22,Saturday,22,2072
2022-10-22,Saturday,23,1353
2022-10-23,Sunday,0,850
2022-10-23,Sunday,1,496
2022-10-23,Sunday,2,307
2022-10-23,Sunday,3,167
2022-10-23,Sunday,4,127
2022-10-23,Sunday,5,159
2022-10-23,Sunday,6,330
2022-10-23,Sunday,7,967
2022-10-23,Sunday,8,1658
2022-10-23,Sunday,9,2335
2022-10-23,Sunday,10,6077
2022-10-23,Sunday,11,14676
2022-10-23,Sunday,12,9476
2022-10-23,Sunday,13,4835
2022-10-23,Sunday,14,3659
2022-10-23,Sunday,15,3293
2022-10-23,Sunday,16,4182
2022-10-23,Sunday,17,9039
2022-10-23,Sunday,18,10101
2022-10-23,Sunday,19,6526
2022-10-23,Sunday,20,4122
2022-10-23,Sunday,21,2733
2022-10-23,Sunday,22,1791
2022-10-23,Sunday,23,1254
2022-10-24,Monday,0,686
2022-10-24,Monday,1,452
2022-10-24,Monday,2,262
2022-10-24,Monday,3,177
2022-10-24,Monday,4,131
2022-10-24,Monday,5,125
2022-10-24,Monday,6,375
2022-10-24,Monday,7,752
2022-10-24,Monday,8,1297
2022-10-24,Monday,9,1656
2022-10-24,Monday,10,5258
2022-10-24,Monday,11,14732
2022-10-24,Monday,12,7591
2022-10-24,Monday,13,3636
2022-10-24,Monday,14,2622
2022-10-24,Monday,15,2339
2022-10-24,Monday,16,3216
2022-10-24,Monday,17,7307
2022-10-24,Monday,18,9140
2022-10-24,Monday,19,6390
2022-10-24,Monday,20,3969
2022-10-24,Monday,21,2845
2022-10-24,Monday,22,1776
2022-10-24,Monday,23,1099
